organization_name,category,subtype,affiliation_type
disney,ANNUAL,INCRE,N10MA
disney,ANNUAL,INCRE,N10MB
disney,ANNUAL,INCRE,N10MC
disney,ANNUAL,INCRE,N10MD
disney,ANNUAL,INCRES,N10NA
disney,ANNUAL,INCRES,N10NB
disney,ANNUAL,INCRES,N10NC
disney,ANNUAL,INCRES,N10ND
disney,ANNUAL,INCREP,N10OA
disney,ANNUAL,INCREP,N10OB
disney,ANNUAL,INCREP,N10OC
disney,ANNUAL,INCREP,N10OD
disney,ANNUAL,INCRESP,N10PA
disney,ANNUAL,INCRESP,N10PB
disney,ANNUAL,INCRESP,N10PC
disney,ANNUAL,INCRESP,N10PD
disney,ANNUAL,FL_INCRE,N1FMA
disney,ANNUAL,FL_INCRE,N1FMB
disney,ANNUAL,FL_INCRE,N1FMC
disney,ANNUAL,FL_INCRE,N1FMD
disney,ANNUAL,FL_INCRES,N1FNA
disney,ANNUAL,FL_INCRES,N1FNB
disney,ANNUAL,FL_INCRES,N1FNC
disney,ANNUAL,FL_INCRES,N1FND
disney,ANNUAL,FL_INCREP,N1FOA
disney,ANNUAL,FL_INCREP,N1FOB
disney,ANNUAL,FL_INCREP,N1FOC
disney,ANNUAL,FL_INCREP,N1FOD
disney,ANNUAL,FL_INCRESP,N1FPA
disney,ANNUAL,FL_INCRESP,N1FPB
disney,ANNUAL,FL_INCRESP,N1FPC
disney,ANNUAL,FL_INCRESP,N1FPD
disney,ANNUAL,SORCE,N2FMA
disney,ANNUAL,SORCE,N2FMB
disney,ANNUAL,SORCE,N2FMC
disney,ANNUAL,SORCE,N2FMD
disney,ANNUAL,SORCES,N2FNA
disney,ANNUAL,SORCES,N2FNB
disney,ANNUAL,SORCES,N2FNC
disney,ANNUAL,SORCES,N2FND
disney,ANNUAL,SORCEP,N2FOA
disney,ANNUAL,SORCEP,N2FOB
disney,ANNUAL,SORCEP,N2FOC
disney,ANNUAL,SORCEP,N2FOD
disney,ANNUAL,SORCESP,N2FPA
disney,ANNUAL,SORCESP,N2FPB
disney,ANNUAL,SORCESP,N2FPC
disney,ANNUAL,SORCESP,N2FPD
disney,ANNUAL,SORCDVC,N2VMA
disney,ANNUAL,SORCDVC,N2VMB
disney,ANNUAL,SORCDVC,N2VMC
disney,ANNUAL,SORCDVC,N2VMD
disney,ANNUAL,SORCSDVC,N2VNA
disney,ANNUAL,SORCSDVC,N2VNB
disney,ANNUAL,SORCSDVC,N2VNC
disney,ANNUAL,SORCSDVC,N2VND
disney,ANNUAL,SORCPDVC,N2VOA
disney,ANNUAL,SORCPDVC,N2VOB
disney,ANNUAL,SORCPDVC,N2VOC
disney,ANNUAL,SORCPDVC,N2VOD
disney,ANNUAL,SORCSPDVC,N2VPA
disney,ANNUAL,SORCSPDVC,N2VPB
disney,ANNUAL,SORCSPDVC,N2VPC
disney,ANNUAL,SORCSPDVC,N2VPD
disney,ANNUAL,PIRAT,N3FMA
disney,ANNUAL,PIRAT,N3FMB
disney,ANNUAL,PIRAT,N3FMC
disney,ANNUAL,PIRAT,N3FMD
disney,ANNUAL,PIRATS,N3FNA
disney,ANNUAL,PIRATS,N3FNB
disney,ANNUAL,PIRATS,N3FNC
disney,ANNUAL,PIRATS,N3FND
disney,ANNUAL,PIRATP,N3FOA
disney,ANNUAL,PIRATP,N3FOB
disney,ANNUAL,PIRATP,N3FOC
disney,ANNUAL,PIRATP,N3FOD
disney,ANNUAL,PIRATSP,N3FPA
disney,ANNUAL,PIRATSP,N3FPB
disney,ANNUAL,PIRATSP,N3FPC
disney,ANNUAL,PIRATSP,N3FPD
disney,ANNUAL,PIXID,N4FMA
disney,ANNUAL,PIXID,N4FMB
disney,ANNUAL,PIXID,N4FMC
disney,ANNUAL,PIXID,N4FMD
disney,ANNUAL,PIXIDS,N4FNA
disney,ANNUAL,PIXIDS,N4FNB
disney,ANNUAL,PIXIDS,N4FNC
disney,ANNUAL,PIXIDS,N4FND
disney,ANNUAL,PIXIDP,N4FOA
disney,ANNUAL,PIXIDP,N4FOB
disney,ANNUAL,PIXIDP,N4FOC
disney,ANNUAL,PIXIDP,N4FOD
disney,ANNUAL,PIXIDSP,N4FPA
disney,ANNUAL,PIXIDSP,N4FPB
disney,ANNUAL,PIXIDSP,N4FPC
disney,ANNUAL,PIXIDSP,N4FPD
disney,ANNUAL,INCRE,N10IA
disney,ANNUAL,INCRE,N10IB
disney,ANNUAL,INCRE,N10IC
disney,ANNUAL,INCRE,N10ID
disney,ANNUAL,INCRES,N10JA
disney,ANNUAL,INCRES,N10JB
disney,ANNUAL,INCRES,N10JC
disney,ANNUAL,INCRES,N10JD
disney,ANNUAL,INCREP,N10KA
disney,ANNUAL,INCREP,N10KB
disney,ANNUAL,INCREP,N10KC
disney,ANNUAL,INCREP,N10KD
disney,ANNUAL,INCRESP,N10LA
disney,ANNUAL,INCRESP,N10LB
disney,ANNUAL,INCRESP,N10LC
disney,ANNUAL,INCRESP,N10LD
disney,ANNUAL,FL_INCRE,N1FIA
disney,ANNUAL,FL_INCRE,N1FIB
disney,ANNUAL,FL_INCRE,N1FIC
disney,ANNUAL,FL_INCRE,N1FID
disney,ANNUAL,FL_INCRES,N1FJA
disney,ANNUAL,FL_INCRES,N1FJB
disney,ANNUAL,FL_INCRES,N1FJC
disney,ANNUAL,FL_INCRES,N1FJD
disney,ANNUAL,FL_INCREP,N1FKA
disney,ANNUAL,FL_INCREP,N1FKB
disney,ANNUAL,FL_INCREP,N1FKC
disney,ANNUAL,FL_INCREP,N1FKD
disney,ANNUAL,FL_INCRESP,N1FLA
disney,ANNUAL,FL_INCRESP,N1FLB
disney,ANNUAL,FL_INCRESP,N1FLC
disney,ANNUAL,FL_INCRESP,N1FLD
disney,ANNUAL,SORCE,N2FIA
disney,ANNUAL,SORCE,N2FIB
disney,ANNUAL,SORCE,N2FIC
disney,ANNUAL,SORCE,N2FID
disney,ANNUAL,SORCES,N2FJA
disney,ANNUAL,SORCES,N2FJB
disney,ANNUAL,SORCES,N2FJC
disney,ANNUAL,SORCES,N2FJD
disney,ANNUAL,SORCEP,N2FKA
disney,ANNUAL,SORCEP,N2FKB
disney,ANNUAL,SORCEP,N2FKC
disney,ANNUAL,SORCEP,N2FKD
disney,ANNUAL,SORCESP,N2FLA
disney,ANNUAL,SORCESP,N2FLB
disney,ANNUAL,SORCESP,N2FLC
disney,ANNUAL,SORCESP,N2FLD
disney,ANNUAL,SORCDVC,N2VIA
disney,ANNUAL,SORCDVC,N2VIB
disney,ANNUAL,SORCDVC,N2VIC
disney,ANNUAL,SORCDVC,N2VID
disney,ANNUAL,SORCSDVC,N2VJA
disney,ANNUAL,SORCSDVC,N2VJB
disney,ANNUAL,SORCSDVC,N2VJC
disney,ANNUAL,SORCSDVC,N2VJD
disney,ANNUAL,SORCPDVC,N2VKA
disney,ANNUAL,SORCPDVC,N2VKB
disney,ANNUAL,SORCPDVC,N2VKC
disney,ANNUAL,SORCPDVC,N2VKD
disney,ANNUAL,SORCSPDVC,N2VLA
disney,ANNUAL,SORCSPDVC,N2VLB
disney,ANNUAL,SORCSPDVC,N2VLC
disney,ANNUAL,SORCSPDVC,N2VLD
disney,ANNUAL,PIRAT,N3FIA
disney,ANNUAL,PIRAT,N3FIB
disney,ANNUAL,PIRAT,N3FIC
disney,ANNUAL,PIRAT,N3FID
disney,ANNUAL,PIRATS,N3FJA
disney,ANNUAL,PIRATS,N3FJB
disney,ANNUAL,PIRATS,N3FJC
disney,ANNUAL,PIRATS,N3FJD
disney,ANNUAL,PIRATP,N3FKA
disney,ANNUAL,PIRATP,N3FKB
disney,ANNUAL,PIRATP,N3FKC
disney,ANNUAL,PIRATP,N3FKD
disney,ANNUAL,PIRATSP,N3FLA
disney,ANNUAL,PIRATSP,N3FLB
disney,ANNUAL,PIRATSP,N3FLC
disney,ANNUAL,PIRATSP,N3FLD
disney,ANNUAL,PIXID,N4FIA
disney,ANNUAL,PIXID,N4FIB
disney,ANNUAL,PIXID,N4FIC
disney,ANNUAL,PIXID,N4FID
disney,ANNUAL,PIXIDS,N4FJA
disney,ANNUAL,PIXIDS,N4FJB
disney,ANNUAL,PIXIDS,N4FJC
disney,ANNUAL,PIXIDS,N4FJD
disney,ANNUAL,PIXIDP,N4FKA
disney,ANNUAL,PIXIDP,N4FKB
disney,ANNUAL,PIXIDP,N4FKC
disney,ANNUAL,PIXIDP,N4FKD
disney,ANNUAL,PIXIDSP,N4FLA
disney,ANNUAL,PIXIDSP,N4FLB
disney,ANNUAL,PIXIDSP,N4FLC
disney,ANNUAL,PIXIDSP,N4FLD
disney,ANNUAL,INCRE,N10QA
disney,ANNUAL,INCRE,N10QB
disney,ANNUAL,INCRES,N10RA
disney,ANNUAL,INCRES,N10RB
disney,ANNUAL,INCREP,N10SA
disney,ANNUAL,INCREP,N10SB
disney,ANNUAL,INCRESP,N10TA
disney,ANNUAL,INCRESP,N10TB
disney,ANNUAL,FL_INCRE,N1FQA
disney,ANNUAL,FL_INCRE,N1FQB
disney,ANNUAL,FL_INCRES,N1FRA
disney,ANNUAL,FL_INCRES,N1FRB
disney,ANNUAL,FL_INCREP,N1FSA
disney,ANNUAL,FL_INCREP,N1FSB
disney,ANNUAL,FL_INCRESP,N1FTA
disney,ANNUAL,FL_INCRESP,N1FTB
disney,ANNUAL,SORCE,N2FQA
disney,ANNUAL,SORCE,N2FQB
disney,ANNUAL,SORCES,N2FRA
disney,ANNUAL,SORCES,N2FRB
disney,ANNUAL,SORCEP,N2FSA
disney,ANNUAL,SORCEP,N2FSB
disney,ANNUAL,SORCESP,N2FTA
disney,ANNUAL,SORCESP,N2FTB
disney,ANNUAL,SORCDVC,N2VQA
disney,ANNUAL,SORCDVC,N2VQB
disney,ANNUAL,SORCSDVC,N2VRA
disney,ANNUAL,SORCSDVC,N2VRB
disney,ANNUAL,SORCPDVC,N2VSA
disney,ANNUAL,SORCPDVC,N2VSB
disney,ANNUAL,SORCSPDVC,N2VTA
disney,ANNUAL,SORCSPDVC,N2VTB
disney,ANNUAL,PIRAT,N3FQA
disney,ANNUAL,PIRAT,N3FQB
disney,ANNUAL,PIRATS,N3FRA
disney,ANNUAL,PIRATS,N3FRB
disney,ANNUAL,PIRATP,N3FSA
disney,ANNUAL,PIRATP,N3FSB
disney,ANNUAL,PIRATSP,N3FTA
disney,ANNUAL,PIRATSP,N3FTB
disney,ANNUAL,PIXID,N4FQA
disney,ANNUAL,PIXID,N4FQB
disney,ANNUAL,PIXIDS,N4FRA
disney,ANNUAL,PIXIDS,N4FRB
disney,ANNUAL,PIXIDP,N4FSA
disney,ANNUAL,PIXIDP,N4FSB
disney,ANNUAL,PIXIDSP,N4FTA
disney,ANNUAL,PIXIDSP,N4FTB
disney,ANNUAL,INCRE,N1EQA
disney,ANNUAL,INCRE,N1EQB
disney,ANNUAL,INCRES,N1ERA
disney,ANNUAL,INCRES,N1ERB
disney,ANNUAL,INCREP,N1ESA
disney,ANNUAL,INCREP,N1ESB
disney,ANNUAL,INCRESP,N1ETA
disney,ANNUAL,INCRESP,N1ETB
disney,ANNUAL,FL_INCRE,N1EUA
disney,ANNUAL,FL_INCRE,N1EUB
disney,ANNUAL,FL_INCRES,N1EVA
disney,ANNUAL,FL_INCRES,N1EVB
disney,ANNUAL,FL_INCREP,N1EWA
disney,ANNUAL,FL_INCREP,N1EWB
disney,ANNUAL,FL_INCRESP,N1EXA
disney,ANNUAL,FL_INCRESP,N1EXB
disney,ANNUAL,SORCE,N2EMA
disney,ANNUAL,SORCE,N2EMB
disney,ANNUAL,SORCES,N2ENA
disney,ANNUAL,SORCES,N2ENB
disney,ANNUAL,SORCEP,N2EOA
disney,ANNUAL,SORCEP,N2EOB
disney,ANNUAL,SORCESP,N2EPA
disney,ANNUAL,SORCESP,N2EPB
disney,ANNUAL,PIRAT,N3EMA
disney,ANNUAL,PIRAT,N3EMB
disney,ANNUAL,PIRATS,N3ENA
disney,ANNUAL,PIRATS,N3ENB
disney,ANNUAL,PIRATP,N3EOA
disney,ANNUAL,PIRATP,N3EOB
disney,ANNUAL,PIRATSP,N3EPA
disney,ANNUAL,PIRATSP,N3EPB
disney,ANNUAL,PIXID,N4EMA
disney,ANNUAL,PIXID,N4EMB
disney,ANNUAL,PIXIDS,N4ENA
disney,ANNUAL,PIXIDS,N4ENB
disney,ANNUAL,PIXIDP,N4EOA
disney,ANNUAL,PIXIDP,N4EOB
disney,ANNUAL,PIXIDSP,N4EPA
disney,ANNUAL,PIXIDSP,N4EPB
disney,ANNUAL,INCRE,N1EIA
disney,ANNUAL,INCRE,N1EIB
disney,ANNUAL,INCRES,N1EJA
disney,ANNUAL,INCRES,N1EJB
disney,ANNUAL,INCREP,N1EKA
disney,ANNUAL,INCREP,N1EKB
disney,ANNUAL,INCRESP,N1ELA
disney,ANNUAL,INCRESP,N1ELB
disney,ANNUAL,FL_INCRE,N1EMA
disney,ANNUAL,FL_INCRE,N1EMB
disney,ANNUAL,FL_INCRES,N1ENA
disney,ANNUAL,FL_INCRES,N1ENB
disney,ANNUAL,FL_INCREP,N1EOA
disney,ANNUAL,FL_INCREP,N1EOB
disney,ANNUAL,FL_INCRESP,N1EPA
disney,ANNUAL,FL_INCRESP,N1EPB
disney,ANNUAL,SORCE,N2EIA
disney,ANNUAL,SORCE,N2EIB
disney,ANNUAL,SORCES,N2EJA
disney,ANNUAL,SORCES,N2EJB
disney,ANNUAL,SORCEP,N2EKA
disney,ANNUAL,SORCEP,N2EKB
disney,ANNUAL,SORCESP,N2ELA
disney,ANNUAL,SORCESP,N2ELB
disney,ANNUAL,PIRAT,N3EIA
disney,ANNUAL,PIRAT,N3EIB
disney,ANNUAL,PIRATS,N3EJA
disney,ANNUAL,PIRATS,N3EJB
disney,ANNUAL,PIRATP,N3EKA
disney,ANNUAL,PIRATP,N3EKB
disney,ANNUAL,PIRATSP,N3ELA
disney,ANNUAL,PIRATSP,N3ELB
disney,ANNUAL,PIXID,N4EIA
disney,ANNUAL,PIXID,N4EIB
disney,ANNUAL,PIXIDS,N4EJA
disney,ANNUAL,PIXIDS,N4EJB
disney,ANNUAL,PIXIDP,N4EKA
disney,ANNUAL,PIXIDP,N4EKB
disney,ANNUAL,PIXIDSP,N4ELA
disney,ANNUAL,PIXIDSP,N4ELB
disney,ANNUAL,GLDOKRES,N10YA
disney,ANNUAL,GLDOKRES,N10YB
disney,ANNUAL,GLDOKITCO,N10YC
disney,ANNUAL,GLDOKITCO,N10YD